num,nombre,partido,eleccion,entidad,camara,propietario,twitter,facebook,youtube,pagina_personal
1,Abreu Artiñano Rocío Adriana,PRI,Mayoría Relativa,Campeche,D,PROPIETARIO,RAbreuA,Rocio Abreu,,
2,Aceves del Olmo Carlos Humberto,PRI,Representación Proporcional,Distrito Federal,D,PROPIETARIO,,Carlos Aceves del Olmo,,
3,Acosta Croda Rafael,PAN,Mayoría Relativa,Veracruz,D,PROPIETARIO,AcostaCrodaMX,Rafael Acosta Croda,Rafael Acosta Croda,
4,Acosta Montoya Rubén,PVEM,Representación Proporcional,Chihuahua,D,PROPIETARIO,,,,
5,Acosta Peña Brasil Alberto,PRI,Representación Proporcional,México,D,PROPIETARIO,AcolhuaTexcoco,Brasil Alberto Acosta Peña,,
6,Adame Alemán Juan Pablo,PAN,Representación Proporcional,Morelos,D,PROPIETARIO,JuanPabloAdame,Juan Pablo Adame,JuanPabloAdameA,
7,Aguayo López Miguel Ángel,PRI,Mayoría Relativa,Colima,D,PROPIETARIO,MiguelAguayoMX,MiguelAguayoMX,MiguelAguayoTV,
8,Aguila Torres Claudia Elena,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,,claudiaelena.aguila,,
9,Aguilar Rodríguez Aurora de la Luz,PAN,Representación Proporcional,Tlaxcala,D,PROPIETARIO,AuroraAguilarR,,,
10,Aguilar Vega Marcos,PAN,Mayoría Relativa,Querétaro,D,PROPIETARIO,MarcosAguilar,marcos.aguilarvegaii,MarcosAguilarVega,www.diputadomarcosaguilar.com
11,Aguilar Gil Lilia,PT,Representación Proporcional,Chihuahua,D,PROPIETARIO,liliadiputada,Lilia Aguilar,Liliaguilar08,www.liliaaguilar.com
12,Alavez Ruiz Aleida,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,ALEIDAALAVEZ,aleida.alavezruiz,Aleida Alavez,
13,Alcalá Padilla Leobardo,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,Leobardo_Alcala,Leobardo Alcalá,Leobardo Alcalá Padilla,www.leobardoalcala.org.mx
14,Alcalde Luján Luisa María,MC,Representación Proporcional,Distrito Federal,D,PROPIETARIO,LuisaAlcalde,Luisa.Alcalde.12,,
15,Aldana Prieto Luis Ricardo,PRI,Representación Proporcional,Veracruz,D,PROPIETARIO,,,,
16,Algredo Jaramillo Edilberto,PRD,Mayoría Relativa,Tlaxcala,D,PROPIETARIO,AlgredoDip,Edilberto.algredojaramillo,edilbertoalgredo,
17,Allende Cano Ana Isabel,PRI,Mayoría Relativa,Puebla,D,PROPIETARIO,anitzaisa,nitzacano,,
18,Almaguer Torres Felipe de Jesús,PAN,Mayoría Relativa,San Luis Potosí,D,PROPIETARIO,felipedejesusal,,,
19,Alonso Morelli Humberto,PAN,Mayoría Relativa,Veracruz,D,PROPIETARIO,MorelliBoca,HumbertoAlonsoMorelli,Humberto Alonso Morelli,
20,Alonso Raya Agustín Miguel,PRD,Representación Proporcional,Guanajuato,D,PROPIETARIO,AlonsoRaya_,aalonsoraya,,
21,Alvarado Sánchez Brenda María Izontli,PRI,Mayoría Relativa,México,D,PROPIETARIO,Bren_Alvarado,BrendaAlvaradoSanches,BrendaAlvaradoS,
22,Álvarez Tovar Martha Berenice,PAN,Representación Proporcional,Michoacán,D,PROPIETARIO,BereAlvarezT,BereniceAlvarezT,,
23,Amaya Araujo María Elvia,PRI,Representación Proporcional,Baja California,D,PROPIETARIO,,MariaElviaAmayadeHank,,
24,Amaya Reyes María de Lourdes,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,,,,
25,Anaya Cortés Ricardo,PAN,Representación Proporcional,Querétaro,D,PROPIETARIO,RicardoAnayaC,RicardoAnayaC,Ricardo Anaya PAN QRO,www.ricardoanaya.com.mx
26,Anaya Gudiño Alfredo,PRI,Representación Proporcional,Michoacán,D,PROPIETARIO,,,,
27,Anaya Gutiérrez Alberto,PT,Representación Proporcional,Nuevo León,D,PROPIETARIO,,,,
28,Anaya Llamas José Guillermo,PAN,Representación Proporcional,Coahuila,D,PROPIETARIO,memo_anaya,Guillermo-Anaya-Llamas,MemoAnayaCoah,
29,Angulo Parra Carlos Fernando,PAN,Mayoría Relativa,Chihuahua,D,PROPIETARIO,CarlosAnguloP,CarlosAnguloXjUarez,Carlos Fernando Angulo Parra,
30,Añorve Baños Manuel,PRI,Representación Proporcional,Guerrero,D,PROPIETARIO,manuelanorve,manuelanorve, manuelanorveTV,
31,Antonio Altamirano Carol,PRD,Mayoría Relativa,Oaxaca,D,PROPIETARIO,CarolAntonioA,DipCarol,Carol Antonio,
32,Aquino Calvo Juan Jesús,PAN,Representación Proporcional,Chiapas,D,PROPIETARIO,Juan_Aquino_,Juan-Aquino-Calvo,Juan Aquino Calvo,
33,Araujo de la Torre Elsa Patricia,PRI,Representación Proporcional,Tamaulipas,D,PROPIETARIO,,,,
34,Arellano Guzmán Salvador,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,,chavarellano4,,
35,Argüelles Loya Consuelo,PAN,Representación Proporcional,Nuevo León,D,PROPIETARIO,CArguellesA,,,
36,Arias Pallares Luis Manuel,PRD,Representación Proporcional,Distrito Federal,D,PROPIETARIO,lariaspallares,luis.ariaspallares,,
37,Arroyo Ruiz Alma Jeanny,PRI,Mayoría Relativa,Veracruz,D,PROPIETARIO,Jeanny_arroyo,Jeanny Arroyo de Cienfuegos,Jeanny Arroyo,
38,Arroyo Vieyra Francisco Agustín,PRI,Representación Proporcional,Guanajuato,D,PROPIETARIO,farroyov,FranciscoArroyoVieyra,arroyovieyra,
39,Astiazarán Gutiérrez Antonio Francisco,PRI,Mayoría Relativa,Sonora,D,PROPIETARIO,tonoastiazaran,,,
40,Astudillo Suárez Ricardo,PVEM,Mayoría Relativa,Querétaro,D,PROPIETARIO,rastudillo2012,ricardo.astudillosuarez,Ricardo Astudillo,
41,Athie Flores Kamel,PRI,Mayoría Relativa,Chihuahua,D,PROPIETARIO,KamelAthie,kamelathie,Kamel Athie,
42,Aubry de Castro Palomino Enrique,PVEM,Mayoría Relativa,Jalisco,D,PROPIETARIO,EnriqueAubry,EnriqueAubry,,www.enriqueaubry.com.mx
43,Aureoles Conejo Silvano,PRD,Mayoría Relativa,Michoacán,D,PROPIETARIO,SILVANO_A,SilvanoAureoles,Silvano Aureoles,
44,Avila Pérez José Angel,PRD,Representación Proporcional,Distrito Federal,D,PROPIETARIO,JoseAngel_Avila,joseangel.avilaperez.5,José Ángel Ávila,
45,Ayala Robles Linares Flor de Rosa,PRI,Representación Proporcional,Sonora,D,PROPIETARIO,florayalar,FlorAyalaRoblesLinares,florayalar,
46,Azuara Zúñiga Xavier,PAN,Mayoría Relativa,San Luis Potosí,D,PROPIETARIO,XavierAzuaraSLP,xavierazuara,XazAzuaraSLP,
47,Badillo Ramírez Darío,PRI,Mayoría Relativa,Hidalgo,D,PROPIETARIO,,dario.badilloramirez.5,,
48,Barajas Del Toro Salvador,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,Chava_Barajas_T,salvador.b.deltoro,,
49,Barba Mariscal Marco Antonio,PRI,Mayoría Relativa,Jalisco,D,PROPIETARIO,marco_barba,MarcoBarbaM,,
50,Barcenas Nieves Delvim Fabiola,PRI,Mayoría Relativa,Querétaro,D,PROPIETARIO,,,,
51,Barrera Barrera Petra,PRI,Mayoría Relativa,Guanajuato,D,PROPIETARIO,,PetraBarrera,,
52,Barrera Estrada Rodimiro,PRI,Mayoría Relativa,Michoacán,D,PROPIETARIO,,rodimiro.barreraestrada,Rodimiro Barrera Estrada,
53,Barrera Fortoul Laura,PRI,Mayoría Relativa,México,D,PROPIETARIO,LauraBarreraF,LBarreraFortoul,LauraBarreraFortoul,laurabarrerafortoul.net
54,Barrios Gómez Segués Agustín,PRD,Mayoría Relativa,Distrito Federal,D,PROPIETARIO,,Agustín-Barrios-Gómez,,
55,Barrueta Barón Noé,PRI,Mayoría Relativa,México,D,PROPIETARIO,noe_barrueta// NOEBARRUETA,noe.barruetabaron,NOEBARRUETADIPUTADO,
56,Rodrigo Chávez Contreras,PRD,Representación Proporcional,Distrito Federal,D,suplente,,rodrigo.chavezcontretas.1,,
57,Bautista Bravo Alliet Mariana,PRD,Mayoría Relativa,México,D,PROPIETARIO,allietmbautista,allietmariana.bautista.3,Alliet Bautista Bravo,
