num,nombre,partido,eleccion,estado,camara,propietario,twitter,facebook,youtube,pagina_personal,twitter_avatar
1,"Abreu Artiñano Rocío Adriana","PRI","Mayoría Relativa","Campeche","D","PROPIETARIO","RAbreuA","Rocio Abreu","","","http://pbs.twimg.com/profile_images/3001313307/8c40d422c8ad2f04758ec19b46c552ac_bigger.jpeg"
2,"Aceves del Olmo Carlos Humberto","PRI","Representación Proporcional","Distrito Federal","D","PROPIETARIO","","Carlos Aceves del Olmo","","",
3,"Acosta Croda Rafael","PAN","Mayoría Relativa","Veracruz","D","PROPIETARIO","AcostaCrodaMX","Rafael Acosta Croda","Rafael Acosta Croda","","http://pbs.twimg.com/profile_images/378800000611697275/9632bb16b74972e04c91f8560f7acc00_bigger.jpeg"
4,"Acosta Montoya Rubén","PVEM","Representación Proporcional","Chihuahua","D","PROPIETARIO","","","","",
5,"Acosta Peña Brasil Alberto","PRI","Representación Proporcional","México","D","PROPIETARIO","AcolhuaTexcoco","Brasil Alberto Acosta Peña","","","http://pbs.twimg.com/profile_images/3253642412/5d9a4c0420d3211c30feb4199f96f6ca_bigger.jpeg"
6,"Adame Alemán Juan Pablo","PAN","Representación Proporcional","Morelos","D","PROPIETARIO","JuanPabloAdame","Juan Pablo Adame","JuanPabloAdameA","","http://pbs.twimg.com/profile_images/437394788975796224/-q6b0rtM_bigger.jpeg"
7,"Aguayo López Miguel Ángel","PRI","Mayoría Relativa","Colima","D","PROPIETARIO","MiguelAguayoMX","MiguelAguayoMX","MiguelAguayoTV","","http://pbs.twimg.com/profile_images/378800000407236225/23f99d5e722fd12a5c7013b7f0a35ca6_bigger.jpeg"
8,"Aguila Torres Claudia Elena","PRD","Mayoría Relativa","Distrito Federal","D","PROPIETARIO","","claudiaelena.aguila","","",
9,"Aguilar Rodríguez Aurora de la Luz","PAN","Representación Proporcional","Tlaxcala","D","PROPIETARIO","AuroraAguilarR","","","","http://pbs.twimg.com/profile_images/378800000667348930/7c8a4b84cae30912901bdbf098b6e415_bigger.jpeg"
10,"Aguilar Vega Marcos","PAN","Mayoría Relativa","Querétaro","D","PROPIETARIO","MarcosAguilar","marcos.aguilarvegaii","MarcosAguilarVega","www.diputadomarcosaguilar.com","http://pbs.twimg.com/profile_images/451763060068188160/zASPYtii_bigger.jpeg"
